scorer,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,vallecula,vallecula,tongueRoot1,tongueRoot1,tongueRoot2,tongueRoot2,tongueBody1,tongueBody1,tongueBody2,tongueBody2,tongueDorsum1,tongueDorsum1,tongueDorsum2,tongueDorsum2,tongueBlade1,tongueBlade1,tongueBlade2,tongueBlade2,tongueTip1,tongueTip1,tongueTip2,tongueTip2,hyoid,hyoid,mandible,mandible,shortTendon,shortTendon
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Ultrax_TD_003\img081.png,133.9893890785568,162.20376915026847,133.9893890785568,142.44017739196073,145.92989243253442,124.73529310847672,161.16432774622996,110.7360822796754,178.86921202971396,104.97170135016896,194.92713033333902,111.97130676456962,208.10285817221083,121.44136114875874,215.51420508157625,125.55877609840621,221.2785860110827,129.67619104805365,227.04296694058908,132.9701230077716,233.63083086002504,135.44057197756007,132.34242309869782,178.67342894885826,199.0445452829865,182.79084389850573,196.574096313198,169.20337456466913
labeled-data\Ultrax_TD_003\img097.png,129.46023263394463,167.55640858481016,127.4015251591209,150.26326579629088,136.87157954331002,135.02883048259534,149.22382439225237,117.73568769407606,166.1052256858069,107.03040882499269,185.86881744411463,105.79518434009844,201.51499425277493,116.91220470414657,207.27937518228137,120.20613666386453,213.86723910171727,124.73529310847672,220.45510302115318,128.85270805812416,226.63122544562438,133.38186450273636,133.1659060886273,175.3794969891403,193.69190584844478,177.84994595892877,194.51538883837426,165.0859596150217
labeled-data\Ultrax_TD_003\img115.png,133.1659060886273,167.55640858481013,131.10719861380355,152.73371476607934,138.518545523169,137.4992794523838,149.22382439225237,123.50006862358248,163.63477671601842,110.7360822796754,186.6923004340441,110.73608227967537,201.51499425277495,118.97091217897031,208.10285817221083,122.26484413868823,214.27898059668203,125.97051759337094,220.86684451611788,128.02922506819468,229.10167441541282,131.32315702791263,133.9893890785568,178.2616874538935,194.92713033333902,180.732136423682,196.574096313198,169.20337456466913
labeled-data\Ultrax_TD_003\img132.png,131.51894010876833,165.49770110998645,129.46023263394463,144.9106263617492,142.2242189778517,134.61708898763058,161.16432774622996,128.4409665631594,175.98702156496077,118.14742918904079,193.28016435348005,114.03001423939335,210.16156564703456,121.02961965379401,217.16117106143523,124.32355161351197,224.1607764758359,125.97051759337094,231.5721233852013,126.79400058330043,238.1599873046372,125.97051759337094,131.1071986138036,178.67342894885826,193.28016435348005,177.43820446396404,195.7506133232685,166.3211840999159
labeled-data\Ultrax_TD_003\img139.png,126.98978366415614,161.7920276553037,124.9310761893324,144.9106263617492,136.87157954331002,132.14664001784212,153.75298083686457,123.08832712861772,170.63438213041908,114.85349722932284,189.9862323937621,115.26523872428757,205.22066770745764,124.73529310847672,210.98504863696408,128.85270805812416,217.98465405136474,130.49967403798314,224.57251797080065,135.02883048259534,231.983864880166,139.14624543224275,132.34242309869782,178.2616874538935,191.63319837362107,181.55561941361148,191.63319837362107,169.20337456466913
labeled-data\Ultrax_TD_003\img161.png,133.57764758359207,167.55640858481016,141.81247748288695,151.91023177614986,147.5768584123934,132.9701230077716,151.69427336204083,111.14782377464013,164.4582597059479,96.32512995590932,180.51617800957297,91.38423201633239,197.80932079809224,97.1486129458388,203.98544322256342,101.26602789548627,210.16156564703456,107.03040882499269,213.45549760675252,114.03001423939335,215.51420508157625,123.91181011854721,140.16551150302797,175.79123848410507,199.86802827291595,187.73174183808266,197.80932079809227,172.4973065243871
labeled-data\Ultrax_TD_003\img193.png,127.4015251591209,167.9681500797749,136.04809655338053,154.79242224090308,143.87118495771068,138.3227624423133,152.51775635197032,122.26484413868823,165.2817426958774,106.2069258350632,182.57488548439667,98.38383743073305,199.45628677795125,102.08951088541573,205.6324092024224,107.03040882499269,209.7498241520698,113.20653124946386,212.63201461682306,121.02961965379401,215.51420508157625,128.4409665631594,136.04809655338053,177.02646296899928,201.9267357477397,186.90825884815317,199.86802827291598,172.4973065243871
labeled-data\Ultrax_TD_003\img230.png,130.28371562387412,167.14466708984543,129.04849113897987,148.6162998164319,139.75377000806324,133.38186450273636,150.45904887714659,120.20613666386453,168.16393316063062,111.97130676456962,184.6335929592204,111.97130676456962,199.86802827291595,117.73568769407603,206.8676336873166,121.44136114875874,214.27898059668203,123.50006862358248,221.6903275060474,124.32355161351197,229.51341591037757,125.14703460344148,134.40113057352156,179.08517044382302,204.39718471752812,186.4965173531884,202.75021873766917,170.85034054452808
