scorer,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,leftLip,leftLip,rightLip,rightLip,topleftinner,topleftinner,bottomleftinner,bottomleftinner,topmidinner,topmidinner,bottommidinner,bottommidinner,toprightinner,toprightinner,bottomrightinner,bottomrightinner
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\042_sil\img038.png,87.72673459137548,112.3449451101385,228.50308531247757,110.19240152113082,122.59794073329986,106.74833177871852,123.0284494511014,106.74833177871855,157.4691468752242,100.29070101169552,157.4691468752242,104.59578818971087,194.06238788835472,105.45680562531393,194.06238788835466,105.45680562531396
labeled-data\042_sil\img106.png,85.5741910023678,105.45680562531393,228.93359403027912,100.72120972949702,120.87590586209367,94.69408768027552,118.72336227308602,118.37206715935994,157.4691468752242,85.6534046064433,156.17762072181964,126.1212240797876,197.50645763076702,89.0974743488556,196.6454401951639,118.37206715936
labeled-data\042_sil\img129.png,88.157243309177,112.3449451101385,225.05901557006533,112.34494511013847,120.87590586209372,116.65003228815385,120.8759058620937,116.65003228815385,156.6081294396212,117.94155844155841,156.6081294396212,117.94155844155844,194.06238788835478,117.51104972375694,194.06238788835472,117.51104972375691
labeled-data\042_sil\img135.png,89.44876946258162,119.66359331276459,223.76748941666065,116.2195235703523,122.16743201549828,109.33138408552773,120.44539714429217,128.27376766879527,157.0386381574227,104.16527947190932,156.60812943962108,135.16190715361986,192.77086173495016,107.60934921432158,194.06238788835472,130.42631125780298
labeled-data\042_sil\img158.png,84.71317356676471,113.63647126354311,228.072576594676,109.76189280332929,120.44539714429219,105.0262969075124,120.44539714429222,113.20596254574153,158.76067302862882,97.70764870488628,158.3301643108273,118.80257587716153,194.92340532395778,102.44324460070317,195.78442275956078,114.49748869914617
labeled-data\042_sil\img214.png,90.74029561598621,118.80257587716153,222.9064719810576,114.9279974169477,121.73692329769678,104.16527947190932,121.73692329769678,125.26020664418454,158.76067302862893,95.98561383368016,156.60812943962114,129.99580254000148,194.49289660615628,100.29070101169552,193.20137045275166,124.82969792638303
labeled-data\042_sil\img229.png,98.48945253641384,122.2466456195738,217.74036736743918,122.2466456195738,129.91658893592594,120.09410203056612,129.91658893592594,123.10766305517689,159.62169046423188,115.35850613474923,159.19118174643043,132.57885484681066,188.8962832747363,119.66359331276462,188.03526583913325,125.26020664418456
