scorer,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,leftLip,leftLip,rightLip,rightLip,topleftinner,topleftinner,bottomleftinner,bottomleftinner,topmidinner,topmidinner,bottommidinner,bottommidinner,toprightinner,toprightinner,bottomrightinner,bottomrightinner
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\022_xaud\img059.png,90.30978689818468,113.63647126354309,237.11325966850828,114.49748869914617,121.73692329769678,100.72120972949705,123.02844945110134,113.20596254574153,162.2047427710411,99.86019229389396,160.91321661763644,118.80257587716153,202.24205352658393,104.16527947190929,200.52001865537775,115.35850613474926
labeled-data\022_xaud\img094.png,86.00469972016933,110.19240152113082,236.68275095070678,111.48392767453541,116.57081868407836,100.29070101169552,120.44539714429214,116.21952357035232,157.89965559302576,98.13815742268784,157.46914687522425,123.53817177297839,198.36747506637013,102.4432446007032,198.79798378417163,118.8025758771615
labeled-data\022_xaud\img114.png,88.157243309177,114.06697998134462,230.6556289014853,117.08054100595541,119.58437970868911,99.86019229389396,119.58437970868908,123.53817177297839,157.4691468752242,96.84663126928322,156.17762072181964,132.57885484681066,197.07594891296552,102.01273588290167,196.6454401951639,124.39918920858148
labeled-data\022_xaud\img151.png,89.0182607447801,117.51104972375691,231.0861376192868,119.66359331276459,122.1674320154983,98.9991748582909,118.72336227308604,128.70427638659686,158.76067302862882,98.5686661404894,156.17762072181964,137.7449594604291,198.36747506637013,102.8737533185047,198.36747506637008,133.87038100021533
labeled-data\022_xaud\img172.png,90.30978689818468,109.33138408552773,234.53020736169904,117.08054100595538,124.75048432230749,105.0262969075124,124.75048432230754,105.4568056253139,161.343725335438,110.19240152113079,161.343725335438,110.62291023893235,199.6590012197747,108.90087536772617,199.6590012197747,109.76189280332926
labeled-data\022_xaud\img184.png,88.157243309177,114.49748869914617,236.68275095070683,117.51104972375694,124.31997560450601,104.16527947190932,123.88946688670447,115.78901485255082,163.49626892444573,103.30426203630623,159.62169046423188,126.12122407978765,202.67256224438543,108.47036664992464,200.08950993757625,120.09410203056615
labeled-data\022_xaud\img279.png,82.99113869555856,107.17884049652008,237.97427710411134,111.05341895673388,118.29285355528448,98.99917485829087,117.86234483748295,98.99917485829087,159.19118174643037,99.86019229389396,158.76067302862887,105.45680562531388,200.52001865537775,101.15171844729858,200.9505273731793,101.15171844729852
