scorer,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW
bodyparts,vallecula,vallecula,tongueRoot1,tongueRoot1,tongueRoot2,tongueRoot2,tongueBody1,tongueBody1,tongueBody2,tongueBody2,tongueDorsum1,tongueDorsum1,tongueDorsum2,tongueDorsum2,tongueBlade1,tongueBlade1,tongueBlade2,tongueBlade2,tongueTip1,tongueTip1,tongueTip2,tongueTip2,hyoid,hyoid,mandible,mandible,shortTendon,shortTendon
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\TaL_1to8004\img025.png,106.40270891591891,164.67421812005693,108.87315788570737,137.91102094734853,116.28450479507279,113.6182727444286,130.69545711883885,92.61945650122661,145.51815093756966,76.14979670263685,166.51696718077164,65.8562593285182,186.6923004340441,62.150585873835496,199.0445452829865,64.20929334865929,208.92634116214035,71.20889876305989,216.74942956647058,79.85547015731956,225.3960009607301,89.32552454150868,136.04809655338053,172.49730652438706,209.33808265710505,172.08556502942233,204.39718471752818,153.9689392509736
labeled-data\TaL_1to8004\img058.png,97.75613752165927,158.08635420062103,94.87394705690608,128.4409665631594,109.69664087563689,107.03040882499269,133.9893890785568,96.32512995590932,157.870395786512,86.44333407675543,175.98702156496077,75.32631371270733,195.7506133232685,64.62103484362399,206.8676336873166,64.20929334865926,217.57291255639998,66.26800082348296,229.10167441541282,72.8558647429189,238.1599873046372,81.50243613717853,114.63753881521382,181.14387791864672,211.39679013192878,170.02685755459862,208.10285817221086,151.49849028118513
labeled-data\TaL_1to8004\img074.png,97.34439602669451,155.2041637358678,93.22698107704707,130.49967403798314,103.10877695620096,106.61866733002793,124.51933469436767,94.26642248108561,147.16511691742863,89.73726603647339,168.16393316063062,75.32631371270733,180.516178009573,57.209687934258625,191.63319837362107,52.68053148964637,202.3384772427045,51.44530700475218,215.92594657654107,53.09227298461113,226.63122544562438,59.2683954090823,113.81405582528433,180.32039492871723,210.98504863696408,170.43859904956332,207.69111667724607,152.73371476607937
labeled-data\TaL_1to8004\img094.png,101.46181097634198,158.4980956955858,100.63832798641252,129.67619104805362,108.04967489577788,105.38344284513371,120.81366123968499,83.97288510696703,140.98899449295746,71.20889876305989,164.04651821098318,68.3267082983067,189.16274940383258,69.15019128823616,203.5737017275986,69.56193278320089,215.51420508157625,70.38541577313043,227.8664499305186,74.50283072277784,238.98347029456673,85.20810959186122,114.63753881521382,183.61432688843522,208.5145996671757,172.0855650294223,205.2206677074576,154.38068074593832
labeled-data\TaL_1to8004\img126.png,107.63793340081315,159.32157868551525,111.7553483504606,136.26405496748953,118.34321226989653,109.50085779478115,131.9306816037331,84.79636809689649,149.22382439225237,67.91496680334194,169.8108991404896,55.97446344936435,195.33887182830375,55.97446344936438,208.51459966717553,63.38581035872974,216.3376880715057,73.26760623788363,227.4547084355539,79.0319871673901,237.74824580967245,83.14940211703748,115.46102180514328,182.79084389850573,206.04415069738715,167.55640858481016,204.80892621249293,149.43978280636142
labeled-data\TaL_1to8004\img134.png,103.52051845116574,160.5568031704095,105.16748443102472,133.7936059977011,116.28450479507276,108.67737480485167,131.1071986138036,90.14900753143814,151.28253186707607,76.14979670263682,172.69308960524282,67.91496680334194,196.16235481823327,67.91496680334194,208.10285817221083,72.8558647429189,220.04336152618842,76.56153819760158,230.7486403952718,78.20850417746055,241.86566075931992,85.61985108682597,114.63753881521382,182.7908438985057,205.63240920242245,168.37989157473967,203.57370172759863,150.6750072912556
labeled-data\TaL_1to8004\img148.png,101.05006948137725,164.67421812005696,100.63832798641249,137.08753795741904,111.75534835046062,109.08911629981642,131.9306816037331,92.61945650122664,154.1647223318293,79.85547015731953,175.575280069996,74.09108922781311,200.69151126284547,72.8558647429189,211.80853162689354,74.9145722177426,222.5138104959769,78.62024567242531,232.39560637513077,82.32591912710805,242.27740225428462,82.32591912710802,113.8140558252843,183.20258539347049,205.2206677074577,172.08556502942238,201.92673574773966,153.1454562610441
labeled-data\TaL_1to8004\img149.png,102.2852939662715,165.49770110998642,103.52051845116571,137.49927945238383,108.87315788570737,114.44175573435811,128.2250081490504,95.91338846094459,151.28253186707607,84.79636809689649,173.92831409013704,74.9145722177426,196.16235481823327,69.97367427816567,208.1028581722109,72.85586474291887,218.8081370412942,76.5615381976016,229.51341591037757,79.03198716739004,240.63043627442565,85.61985108682597,114.22579732024906,181.55561941361145,206.86763368731658,169.61511605963392,202.3384772427044,151.0867487862204
